Эскроу как балансовое обязательство + float-доход,,
Эскроу не P&L; накопление — обязательство Оператора. Размещение в РНКО → float-доход.,,
,,
Показатель,Значение,Комментарий
Эскроу удержание /мес на участника,9600,ФОТ × Доля эскроу
Срок контракта мес.,36,
Накопление эскроу за контракт на 1 участника,345600,Полное обязательство Оператора перед участником на конец вахты
Контингент Год 3 (тыс.),250,
Контингент Год 7 (тыс.),1000,
Накопленное обязательство Год 3 ₽,86400000000,
Накопленное обязательство Год 7 ₽,345600000000,
,,
Float-доход (квази-банк позиционирование),,
Депозит-ставка размещения,0.14,
Float-доход годовой при контингенте Год 3 ₽/год,12096000000,
Float-доход годовой при контингенте Год 7 ₽/год,48384000000,
Float-доход годовой при контингенте Год 7 млрд ₽/год,48.384,
  Расшифровка на 1 участника (для аудитора):,,
  • Полное накопление эскроу за 36 мес = 9 600 × 36 = 345 600 ₽,,
  • Средний остаток за горизонт 3 лет = (0 + 345 600) / 2 = 172 800 ₽,,
  • Float /мес = 172 800 × 14% / 12 = 2 016 ₽ (см. Unit_Economics!F35),,
,,
Self-financing CAPEX через эскроу-leverage,,
CAPEX на 1 участника (виза/мед/дакт/билет),90000,
Setup-fee от Платформы (разово),75000,
Покрытие CAPEX за счёт Setup-fee %,0.8333,>100% = Setup-fee полностью закрывает CAPEX и даёт margin-уплот
Break-even по эскроу (мес),10,Сколько месяцев эскроу-удержания эквивалентны CAPEX
Self-financing leverage (60% от накопленного эскроу),207360000000,Гипотетическое использование части эскроу-фонда под РНКО-залог для CAPEX
